Project,Region,exact_allocated_emissions_kgco2,matched_input_share
i-02b0d2e4bed3d3b54,eu-3.platform.sh,1.1421970853656262e-07,1.7870012708207005e-12
i-0af1eb953c18ab0ea,eu-3.platform.sh,1.1111744484791525e-07,1.738465433835447e-12
i-08bf8677008f39ce0,eu-3.platform.sh,1.1013036094698199e-07,1.7230222129765028e-12
i-084fc10e67d4b63c8,eu-3.platform.sh,1.0942530101774393e-07,1.7119913409343994e-12
i-0fb2f4a219a100e63,eu-3.platform.sh,1.0914327704604873e-07,1.7075789921175584e-12
i-02a5483ecf20b0def,eu-2.platform.sh,1.0857922910265831e-07,1.6987542944838759e-12
i-05becac7336b19ec9,eu-3.platform.sh,1.0857922910265831e-07,1.6987542944838759e-12
i-0ec10b045b075000f,eu-3.platform.sh,1.0829720513096307e-07,1.6943419456670346e-12
i-0a4a4d10704f2196d,eu-3.platform.sh,1.0787416917342025e-07,1.6877234224417729e-12
i-05c3514a2d4379fed,eu-3.platform.sh,1.0759214520172504e-07,1.6833110736249316e-12
i-0643037466bec27e9,eu-3.platform.sh,1.0731012123002984e-07,1.6788987248080904e-12
i-0d5c3f22e97fe5d60,eu-3.platform.sh,1.070280972583346e-07,1.674486375991249e-12
i-00dedb77b6e0a0aa0,eu-3.platform.sh,1.0646404931494416e-07,1.6656616783575664e-12
i-0dc8c08c85b74e607,eu-3.platform.sh,1.0533595342816331e-07,1.6480122830902017e-12
i-0301b127f2e7b4a8f,eu-3.platform.sh,1.050539294564681e-07,1.6435999342733604e-12
i-02f08281acb27f2ce,eu-3.platform.sh,1.0378482158383961e-07,1.6237443645975747e-12
i-036ed1c95e85204a2,eu-3.platform.sh,1.0251571371121114e-07,1.6038887949217892e-12
i-038bcdbca077e9b39,eu-3.platform.sh,9.546511441883073e-08,1.4935800745007586e-12
i-0dc59e1df444588bf,eu-3.platform.sh,9.546511441883073e-08,1.4935800745007586e-12
i-02f0ef88c9ac34b02,eu-2.platform.sh,9.447803051789747e-08,1.4781368536418141e-12
i-007a693880da28b41,eu-3.platform.sh,9.222183874433575e-08,1.4428380631070842e-12
i-0ac8ed0b25412a797,eu-2.platform.sh,9.193981477264052e-08,1.438425714290243e-12
i-0cad3017ccddfe3de,eu-3.platform.sh,9.165779080094531e-08,1.4340133654734017e-12
