provider,SKU Description,Product category,Usage category,Total emissions kgCO2,bill_key_provider_sku,bill_key_full_grain,total_project_share_for_sku,exact_match_available,allocation_method
AWS,$0.864 per On Demand Linux c5n.4xlarge Instance Hour,dedicated,Compute,3138.8971428571426,AWS || $0.864 per On Demand Linux c5n.4xlarge Instance Hour,AWS || $0.864 per On Demand Linux c5n.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.46 per On Demand Linux m5.2xlarge Instance Hour,dedicated,Compute,3097.0499999999997,AWS || $0.46 per On Demand Linux m5.2xlarge Instance Hour,AWS || $0.46 per On Demand Linux m5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,"AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - EU (Ireland)",Uncategorized,Compute,3035.575714285714,"AWS || AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - EU (Ireland)","AWS || AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - EU (Ireland) || Uncategorized || Compute",,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - US East (Northern Virginia),dedicated,Storage,2963.117142857143,AWS || $0.05 per GB-Month of snapshot data stored - US East (Northern Virginia),AWS || $0.05 per GB-Month of snapshot data stored - US East (Northern Virginia) || dedicated || Storage,,False,shared_overhead
AWS,$0.006 per used Network load balancer capacity unit-hour (or partial hour),grid,Other,2807.0899999999997,AWS || $0.006 per used Network load balancer capacity unit-hour (or partial hour),AWS || $0.006 per used Network load balancer capacity unit-hour (or partial hour) || grid || Other,,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - US East (Ohio),dedicated,Storage,2587.5457142857144,AWS || $0.05 per GB-Month of snapshot data stored - US East (Ohio),AWS || $0.05 per GB-Month of snapshot data stored - US East (Ohio) || dedicated || Storage,,False,shared_overhead
AWS,$0.0952 per GB-month of General Purpose (gp3) provisioned storage - EU (Frankfurt),dedicated,Storage,2522.661428571428,AWS || $0.0952 per GB-month of General Purpose (gp3) provisioned storage - EU (Frankfurt),AWS || $0.0952 per GB-month of General Purpose (gp3) provisioned storage - EU (Frankfurt) || dedicated || Storage,,False,shared_overhead
AWS,$0.0475 per GB-Month of snapshot data stored - EU (Stockholm),grid,Storage,2423.8028571428576,AWS || $0.0475 per GB-Month of snapshot data stored - EU (Stockholm),AWS || $0.0475 per GB-Month of snapshot data stored - EU (Stockholm) || grid || Storage,,False,shared_overhead
AWS,$0.202 per On Demand Linux c5.xlarge Instance Hour,dedicated,Compute,2409.3457142857146,AWS || $0.202 per On Demand Linux c5.xlarge Instance Hour,AWS || $0.202 per On Demand Linux c5.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,0.000001 per data event recorded in EU (Dublin) region,Uncategorized,Other,2398.125714285714,AWS || 0.000001 per data event recorded in EU (Dublin) region,AWS || 0.000001 per data event recorded in EU (Dublin) region || Uncategorized || Other,,False,shared_overhead
AWS,$0.414 per On Demand Linux m6a.2xlarge Instance Hour,dedicated,Compute,2355.3985714285714,AWS || $0.414 per On Demand Linux m6a.2xlarge Instance Hour,AWS || $0.414 per On Demand Linux m6a.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.00695 per Advanced Instance Hr in EU (Ireland),Uncategorized,Other,2339.307142857143,AWS || $0.00695 per Advanced Instance Hr in EU (Ireland),AWS || $0.00695 per Advanced Instance Hr in EU (Ireland) || Uncategorized || Other,,False,shared_overhead
AWS,$0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),grid,Storage,2291.96,AWS || $0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),AWS || $0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney) || grid || Storage,,False,shared_overhead
AWS,$0.025 per GB - first 50 TB / month of storage used,grid,Storage,2245.147142857143,AWS || $0.025 per GB - first 50 TB / month of storage used,AWS || $0.025 per GB - first 50 TB / month of storage used || grid || Storage,,False,shared_overhead
AWS,$0.023 per GB - first 50 TB / month of storage used,grid,Storage,2170.912857142857,AWS || $0.023 per GB - first 50 TB / month of storage used,AWS || $0.023 per GB - first 50 TB / month of storage used || grid || Storage,,False,shared_overhead
AWS,$0.384 per On Demand Linux c5.2xlarge Instance Hour,dedicated,Compute,2143.7742857142857,AWS || $0.384 per On Demand Linux c5.2xlarge Instance Hour,AWS || $0.384 per On Demand Linux c5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.34 per On Demand Linux c5.2xlarge Instance Hour,dedicated,Compute,2136.058571428571,AWS || $0.34 per On Demand Linux c5.2xlarge Instance Hour,AWS || $0.34 per On Demand Linux c5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.856 per On Demand Linux m5.4xlarge Instance Hour,dedicated,Compute,2128.1071428571427,AWS || $0.856 per On Demand Linux m5.4xlarge Instance Hour,AWS || $0.856 per On Demand Linux m5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.828 per On Demand Linux m6a.4xlarge Instance Hour,dedicated,Compute,2055.2400000000002,AWS || $0.828 per On Demand Linux m6a.4xlarge Instance Hour,AWS || $0.828 per On Demand Linux m6a.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.92 per On Demand Linux m5.4xlarge Instance Hour,dedicated,Compute,1998.8728571428571,AWS || $0.92 per On Demand Linux m5.4xlarge Instance Hour,AWS || $0.92 per On Demand Linux m5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.23 per On Demand Linux m5.xlarge Instance Hour,dedicated,Compute,1959.8857142857144,AWS || $0.23 per On Demand Linux m5.xlarge Instance Hour,AWS || $0.23 per On Demand Linux m5.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.097 per On Demand Linux c5.large Instance Hour,dedicated,Compute,1937.2885714285712,AWS || $0.097 per On Demand Linux c5.large Instance Hour,AWS || $0.097 per On Demand Linux c5.large Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.428 per On Demand Linux m5.2xlarge Instance Hour,dedicated,Compute,1892.9114285714284,AWS || $0.428 per On Demand Linux m5.2xlarge Instance Hour,AWS || $0.428 per On Demand Linux m5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.114 per GB - first 10 TB / month data transfer out,Uncategorized,Data Transfer,1872.357142857143,AWS || $0.114 per GB - first 10 TB / month data transfer out,AWS || $0.114 per GB - first 10 TB / month data transfer out || Uncategorized || Data Transfer,,False,shared_overhead
AWS,"$0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier",grid,Storage,1823.297142857143,"AWS || $0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier","AWS || $0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier || grid || Storage",,False,shared_overhead
AWS,$0.3492 per On Demand Linux c6a.2xlarge Instance Hour,dedicated,Compute,1665.7457142857143,AWS || $0.3492 per On Demand Linux c6a.2xlarge Instance Hour,AWS || $0.3492 per On Demand Linux c6a.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,"$0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier",Uncategorized,Storage,1654.6042857142859,"AWS || $0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier","AWS || $0.004 per GB-Month of storage used in Intelligent-Tiering, Archive Instant Access tier || Uncategorized || Storage",,False,shared_overhead
AWS,$0.388 per On Demand Linux c5.2xlarge Instance Hour,dedicated,Compute,1634.1442857142858,AWS || $0.388 per On Demand Linux c5.2xlarge Instance Hour,AWS || $0.388 per On Demand Linux c5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.0036 per GB / month of storage used - Amazon Glacier,Uncategorized,Storage,1627.937142857143,AWS || $0.0036 per GB / month of storage used - Amazon Glacier,AWS || $0.0036 per GB / month of storage used - Amazon Glacier || Uncategorized || Storage,,False,shared_overhead
AWS,$0.0138 per GB-Month of storage used in Standard-Infrequent Access,Uncategorized,Storage,1626.1142857142856,AWS || $0.0138 per GB-Month of storage used in Standard-Infrequent Access,AWS || $0.0138 per GB-Month of storage used in Standard-Infrequent Access || Uncategorized || Storage,,False,shared_overhead
AWS,$0.3456 per On Demand Linux m6a.2xlarge Instance Hour,dedicated,Compute,1604.947142857143,AWS || $0.3456 per On Demand Linux m6a.2xlarge Instance Hour,AWS || $0.3456 per On Demand Linux m6a.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.0270 per Network LoadBalancer-hour (or partial hour),dedicated,Other,1482.705714285714,AWS || $0.0270 per Network LoadBalancer-hour (or partial hour),AWS || $0.0270 per Network LoadBalancer-hour (or partial hour) || dedicated || Other,,False,shared_overhead
AWS,$0.00099 per GB-Month for storage used in Glacier Deep Archive in EU (Ireland),Uncategorized,Storage,1453.32,AWS || $0.00099 per GB-Month for storage used in Glacier Deep Archive in EU (Ireland),AWS || $0.00099 per GB-Month for storage used in Glacier Deep Archive in EU (Ireland) || Uncategorized || Storage,,False,shared_overhead
AWS,$0.6912 per On Demand Linux m6a.4xlarge Instance Hour,dedicated,Compute,1429.5128571428572,AWS || $0.6912 per On Demand Linux m6a.4xlarge Instance Hour,AWS || $0.6912 per On Demand Linux m6a.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.0225 per Network LoadBalancer-hour (or partial hour),dedicated,Other,1419.99,AWS || $0.0225 per Network LoadBalancer-hour (or partial hour),AWS || $0.0225 per Network LoadBalancer-hour (or partial hour) || dedicated || Other,,False,shared_overhead
AWS,"$0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier",grid,Storage,1377.797142857143,"AWS || $0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier","AWS || $0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier || grid || Storage",,False,shared_overhead
AWS,$0.0252 per Network LoadBalancer-hour (or partial hour),dedicated,Other,1368.6828571428573,AWS || $0.0252 per Network LoadBalancer-hour (or partial hour),AWS || $0.0252 per Network LoadBalancer-hour (or partial hour) || dedicated || Other,,False,shared_overhead
AWS,"$0.023 per GB - first 50 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier",grid,Storage,1350.4542857142858,"AWS || $0.023 per GB - first 50 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier","AWS || $0.023 per GB - first 50 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier || grid || Storage",,False,shared_overhead
AWS,$0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland),dedicated,Storage,1346.6671428571428,AWS || $0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland),AWS || $0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland) || dedicated || Storage,,False,shared_overhead
AWS,$0.384 per On Demand Linux m5.2xlarge Instance Hour,dedicated,Compute,1333.3257142857144,AWS || $0.384 per On Demand Linux m5.2xlarge Instance Hour,AWS || $0.384 per On Demand Linux m5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,"$0.022 per GB - next 450 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier",grid,Storage,1315.5685714285714,"AWS || $0.022 per GB - next 450 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier","AWS || $0.022 per GB - next 450 TB / month of storage used in Intelligent-Tiering, Frequent Access Tier || grid || Storage",,False,shared_overhead
AWS,$0.02646 per Network LoadBalancer-hour (or partial hour),dedicated,Other,1274.1928571428573,AWS || $0.02646 per Network LoadBalancer-hour (or partial hour),AWS || $0.02646 per Network LoadBalancer-hour (or partial hour) || dedicated || Other,,False,shared_overhead
AWS,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",Uncategorized,Storage,1191.2371428571428,"AWS || $0.005 per 1,000 PUT, COPY, POST, or LIST requests","AWS || $0.005 per 1,000 PUT, COPY, POST, or LIST requests || Uncategorized || Storage",,False,shared_overhead
AWS,$0.055 per GB-Month of snapshot data stored - Canada (Central),grid,Storage,1169.8500000000001,AWS || $0.055 per GB-Month of snapshot data stored - Canada (Central),AWS || $0.055 per GB-Month of snapshot data stored - Canada (Central) || grid || Storage,,False,shared_overhead
AWS,$0.424 per On Demand Linux c5.2xlarge Instance Hour,dedicated,Compute,1135.6085714285714,AWS || $0.424 per On Demand Linux c5.2xlarge Instance Hour,AWS || $0.424 per On Demand Linux c5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.17 per On Demand Linux c6i.xlarge Instance Hour,dedicated,Compute,1081.6614285714286,AWS || $0.17 per On Demand Linux c6i.xlarge Instance Hour,AWS || $0.17 per On Demand Linux c6i.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.101 per On Demand Linux c5.large Instance Hour,dedicated,Compute,1051.6785714285713,AWS || $0.101 per On Demand Linux c5.large Instance Hour,AWS || $0.101 per On Demand Linux c5.large Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.115 per On Demand Linux m5.large Instance Hour,dedicated,Compute,1051.2542857142857,AWS || $0.115 per On Demand Linux m5.large Instance Hour,AWS || $0.115 per On Demand Linux m5.large Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.68 per On Demand Linux c5.4xlarge Instance Hour,dedicated,Compute,1046.3671428571429,AWS || $0.68 per On Demand Linux c5.4xlarge Instance Hour,AWS || $0.68 per On Demand Linux c5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia),dedicated,Storage,1027.0228571428572,AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia),AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia) || dedicated || Storage,,False,shared_overhead
AWS,$0.053 per GB-Month of snapshot data stored - EU (London),dedicated,Storage,1019.1499999999999,AWS || $0.053 per GB-Month of snapshot data stored - EU (London),AWS || $0.053 per GB-Month of snapshot data stored - EU (London) || dedicated || Storage,,False,shared_overhead
AWS,$0.0025 per 1 million objects listed in S3 Inventory,Uncategorized,Storage,1015.5671428571428,AWS || $0.0025 per 1 million objects listed in S3 Inventory,AWS || $0.0025 per 1 million objects listed in S3 Inventory || Uncategorized || Storage,,False,shared_overhead
AWS,$0.085 per GB - first 10 TB / month data transfer out,Uncategorized,Data Transfer,986.6685714285715,AWS || $0.085 per GB - first 10 TB / month data transfer out,AWS || $0.085 per GB - first 10 TB / month data transfer out || Uncategorized || Data Transfer,,False,shared_overhead
AWS,$0.207 per On Demand Linux m6a.xlarge Instance Hour,dedicated,Compute,935.9271428571429,AWS || $0.207 per On Demand Linux m6a.xlarge Instance Hour,AWS || $0.207 per On Demand Linux m6a.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.153 per On Demand Linux c6a.xlarge Instance Hour,dedicated,Compute,899.8000000000001,AWS || $0.153 per On Demand Linux c6a.xlarge Instance Hour,AWS || $0.153 per On Demand Linux c6a.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.224 per On Demand Linux m6i.xlarge Instance Hour,dedicated,Compute,886.9142857142857,AWS || $0.224 per On Demand Linux m6i.xlarge Instance Hour,AWS || $0.224 per On Demand Linux m6i.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.768 per On Demand Linux m5.4xlarge Instance Hour,dedicated,Compute,877.1557142857143,AWS || $0.768 per On Demand Linux m5.4xlarge Instance Hour,AWS || $0.768 per On Demand Linux m5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.408 per On Demand Linux m6i.2xlarge Instance Hour,dedicated,Compute,849.53,AWS || $0.408 per On Demand Linux m6i.2xlarge Instance Hour,AWS || $0.408 per On Demand Linux m6i.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.085 per GB - first 10 TB / month data transfer out,dedicated,Data Transfer,838.3571428571429,AWS || $0.085 per GB - first 10 TB / month data transfer out,AWS || $0.085 per GB - first 10 TB / month data transfer out || dedicated || Data Transfer,,False,shared_overhead
AWS,$0.224 per On Demand Linux m5.xlarge Instance Hour,dedicated,Compute,838.2157142857142,AWS || $0.224 per On Demand Linux m5.xlarge Instance Hour,AWS || $0.224 per On Demand Linux m5.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,"$0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier",Uncategorized,Storage,829.9657142857142,"AWS || $0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier","AWS || $0.0125 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier || Uncategorized || Storage",,False,shared_overhead
AWS,$0.1728 per On Demand Linux m6a.xlarge Instance Hour,dedicated,Compute,811.6899999999999,AWS || $0.1728 per On Demand Linux m6a.xlarge Instance Hour,AWS || $0.1728 per On Demand Linux m6a.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$1.224 per On Demand Linux m5.4xlarge Instance Hour,dedicated,Compute,801.4757142857143,AWS || $1.224 per On Demand Linux m5.4xlarge Instance Hour,AWS || $1.224 per On Demand Linux m5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,"AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - Asia Pacific (Mumbai)",Uncategorized,Compute,783.75,"AWS || AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - Asia Pacific (Mumbai)","AWS || AWS Lambda - Compute Free Tier - 400,000 GB-Seconds - Asia Pacific (Mumbai) || Uncategorized || Compute",,False,shared_overhead
AWS,$0.896 per On Demand Linux m6i.4xlarge Instance Hour,dedicated,Compute,779.0200000000001,AWS || $0.896 per On Demand Linux m6i.4xlarge Instance Hour,AWS || $0.896 per On Demand Linux m6i.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.0055 per provisioned IOPS-month of gp3 - EU (Ireland),grid,Storage,765.16,AWS || $0.0055 per provisioned IOPS-month of gp3 - EU (Ireland),AWS || $0.0055 per provisioned IOPS-month of gp3 - EU (Ireland) || grid || Storage,,False,shared_overhead
